City,Severity_Level,Accident_Count,Severity_Ratio_Percent
ALAMOGORDO,4,5,83.33
ALAMOSA,2,3,50.0
ALAMOSA,3,1,16.67
ALAMOSA,4,2,33.33
ALANSON,2,3,30.0
ALANSON,4,7,70.0
ALAPAHA,2,1,25.0
ALAPAHA,4,3,75.0
ALBA,2,1,100.0
ALBANY,1,25,0.61
ALBANY,2,3820,92.85
ALBANY,3,109,2.65
ALBANY,4,160,3.89
ALBEMARLE,2,12,60.0
ALBEMARLE,3,1,5.0
ALBEMARLE,4,7,35.0
ALBERS,2,1,33.33
ALBERS,4,2,66.67
ALBERT CITY,2,2,66.67
ALBERT CITY,4,1,33.33
ALBERT LEA,2,588,98.33
ALBERT LEA,3,8,1.34
ALBERT LEA,4,2,0.33
ALBERTA,2,117,87.97
ALBERTA,3,2,1.5
ALBERTA,4,14,10.53
ALBERTON,2,111,98.23
ALBERTON,4,2,1.77
ALBERTSON,2,7,100.0
ALBERTVILLE,2,316,94.05
ALBERTVILLE,3,16,4.76
ALBERTVILLE,4,4,1.19
ALBIA,2,3,42.86
ALBIA,4,4,57.14
ALBIN,2,1,50.0
ALBIN,4,1,50.0
ALBION,2,126,79.75
ALBION,3,5,3.16
ALBION,4,27,17.09
ALBRIGHTSVILLE,2,5,100.0
ALBUQUERQUE,1,46,5.04
ALBUQUERQUE,2,693,75.99
ALBUQUERQUE,3,91,9.98
ALBUQUERQUE,4,82,8.99
ALBURGH,2,6,54.55
ALBURGH,3,1,9.09
ALBURGH,4,4,36.36
ALCOA,2,5,100.0
ALCOLU,2,137,94.48
ALCOLU,3,2,1.38
ALCOLU,4,6,4.14
ALCOVA,4,1,100.0
ALCOVE,2,3,100.0
ALDA,2,2,100.0
ALDAN,2,6,100.0
ALDEN,2,108,92.31
ALDEN,3,2,1.71
ALDEN,4,7,5.98
ALDER,2,1,100.0
ALDER CREEK,2,6,100.0
ALDERPOINT,2,18,100.0
ALDIE,2,92,62.16
ALDIE,3,8,5.41
ALDIE,4,48,32.43
ALDRICH,2,12,100.0
ALEDO,2,79,88.76
ALEDO,3,9,10.11
ALEDO,4,1,1.12
ALEXANDER,2,43,91.49
ALEXANDER,4,4,8.51
ALEXANDER CITY,2,9,64.29
ALEXANDER CITY,4,5,35.71
ALEXANDRIA,1,10,0.28
ALEXANDRIA,2,3217,88.53
ALEXANDRIA,3,263,7.24
ALEXANDRIA,4,144,3.96
ALEXANDRIA BAY,2,4,50.0
ALEXANDRIA BAY,4,4,50.0
ALEXIS,2,1,50.0
ALEXIS,4,1,50.0
ALFORD,2,42,95.45
ALFORD,4,2,4.55
ALFRED,2,5,100.0
ALGER,2,3,75.0
ALGER,4,1,25.0
ALGODONES,2,12,75.0
ALGODONES,3,1,6.25
ALGODONES,4,3,18.75
ALGONA,2,1,100.0
ALGONAC,2,1,100.0
ALGONQUIN,2,1,12.5
ALGONQUIN,3,5,62.5
ALGONQUIN,4,2,25.0
ALHAMBRA,2,1451,94.71
ALHAMBRA,3,58,3.79
ALHAMBRA,4,23,1.5
ALICE,4,2,100.0
ALICEVILLE,2,2,50.0
ALICEVILLE,3,1,25.0
ALICEVILLE,4,1,25.0
ALIQUIPPA,2,29,65.91
ALIQUIPPA,3,2,4.55
ALIQUIPPA,4,13,29.55
ALISO VIEJO,2,178,98.34
ALISO VIEJO,3,2,1.1
ALISO VIEJO,4,1,0.55
ALLEDONIA,2,1,50.0
ALLEDONIA,4,1,50.0
ALLEGAN,2,1,5.56
ALLEGAN,3,2,11.11
ALLEGAN,4,15,83.33
ALLEGANY,2,2,25.0
ALLEGANY,4,6,75.0
ALLEN,2,168,74.01
ALLEN,3,51,22.47
ALLEN,4,8,3.52
ALLEN PARK,1,1,0.46
ALLEN PARK,2,167,76.96
ALLEN PARK,3,31,14.29
ALLEN PARK,4,18,8.29
ALLENDALE,2,82,95.35
ALLENDALE,4,4,4.65
ALLENSVILLE,2,8,100.0
ALLENTON,2,10,40.0
ALLENTON,3,2,8.0
ALLENTON,4,13,52.0
ALLENTOWN,2,857,89.27
ALLENTOWN,3,32,3.33
ALLENTOWN,4,71,7.4
ALLENWOOD,2,114,91.2
ALLENWOOD,3,1,0.8
ALLENWOOD,4,10,8.0
ALLERTON,4,2,100.0
ALLIANCE,2,2,15.38
ALLIANCE,4,11,84.62
ALLISON,2,2,25.0
ALLISON,4,6,75.0
ALLISON PARK,2,14,35.0
ALLISON PARK,3,15,37.5
ALLISON PARK,4,11,27.5
ALLONS,3,1,50.0
ALLONS,4,1,50.0
ALLPORT,2,9,100.0
ALLSTON,1,2,3.51
ALLSTON,2,29,50.88
ALLSTON,3,21,36.84
ALLSTON,4,5,8.77
ALLYN,2,14,63.64
ALLYN,3,2,9.09
ALLYN,4,6,27.27
ALMA,2,51,64.56
ALMA,3,4,5.06
ALMA,4,24,30.38
ALMOND,4,3,100.0
ALMONT,2,1,7.14
ALMONT,4,13,92.86
ALMYRA,2,2,66.67
ALMYRA,4,1,33.33
ALPAUGH,2,10,100.0
ALPENA,2,8,36.36
ALPENA,3,1,4.55
ALPENA,4,13,59.09
ALPHA,2,20,95.24
ALPHA,4,1,4.76
ALPHARETTA,1,10,4.2
ALPHARETTA,2,131,55.04
ALPHARETTA,3,74,31.09
ALPHARETTA,4,23,9.66
ALPINE,2,82,78.85
ALPINE,3,9,8.65
ALPINE,4,13,12.5
ALPINE MEADOWS,2,16,100.0
ALPLAUS,2,5,55.56
ALPLAUS,4,4,44.44
ALSEA,2,105,99.06
ALSEA,3,1,0.94
ALSIP,2,128,63.05
ALSIP,3,69,33.99
ALSIP,4,6,2.96
ALTA,2,439,95.85
ALTA,3,7,1.53
ALTA,4,12,2.62
ALTA VISTA,2,2,50.0
ALTA VISTA,4,2,50.0
ALTADENA,2,536,99.26
ALTADENA,3,2,0.37
ALTADENA,4,2,0.37
ALTAMONT,2,32,62.75
ALTAMONT,4,19,37.25
ALTAMONTE SPRINGS,1,9,1.16
ALTAMONTE SPRINGS,2,653,84.26
ALTAMONTE SPRINGS,3,86,11.1
ALTAMONTE SPRINGS,4,27,3.48
ALTAVISTA,1,1,2.94
ALTAVISTA,2,28,82.35
ALTAVISTA,4,5,14.71
ALTHA,2,31,96.88
ALTHA,4,1,3.13
ALTHEIMER,4,2,100.0
ALTO,2,9,50.0
ALTO,4,9,50.0
ALTO PASS,3,1,25.0
ALTO PASS,4,3,75.0
ALTON,2,46,76.67
ALTON,3,3,5.0
ALTON,4,11,18.33
ALTONA,2,1,50.0
ALTONA,4,1,50.0
ALTOONA,2,808,93.84
ALTOONA,3,10,1.16
ALTOONA,4,43,4.99
ALTURA,2,32,100.0
ALTURAS,2,118,96.72
ALTURAS,3,4,3.28
ALTUS,4,3,100.0
ALUM BANK,2,29,100.0
ALUM CREEK,2,10,100.0
ALVA,2,111,90.98
ALVA,3,2,1.64
ALVA,4,9,7.38
ALVARADO,2,27,90.0
ALVARADO,3,3,10.0
ALVERTON,4,3,100.0
ALVIN,2,12,46.15
ALVIN,3,3,11.54
ALVIN,4,11,42.31
ALVISO,2,37,100.0
ALVORDTON,4,2,100.0
ALZADA,2,12,80.0
ALZADA,4,3,20.0
AMADO,2,11,100.0
AMADOR CITY,2,4,100.0
AMAGANSETT,2,8,72.73
AMAGANSETT,3,2,18.18
AMAGANSETT,4,1,9.09
AMAGON,2,1,100.0
AMANA,2,3,60.0
AMANA,4,2,40.0
AMANDA,4,13,100.0
AMANDA PARK,2,2,100.0
AMARGOSA VALLEY,2,8,50.0
AMARGOSA VALLEY,4,8,50.0
AMARILLO,2,2,8.0
AMARILLO,3,4,16.0
AMARILLO,4,19,76.0
AMAWALK,2,8,72.73
AMAWALK,4,3,27.27
AMAZONIA,2,1,50.0
AMAZONIA,4,1,50.0
AMBER,4,1,100.0
AMBERG,4,3,100.0
AMBLER,1,1,0.14
AMBLER,2,677,95.08
AMBLER,3,4,0.56
AMBLER,4,30,4.21
AMBOY,2,45,88.24
AMBOY,3,4,7.84
AMBOY,4,2,3.92
AMBRIDGE,2,12,50.0
AMBRIDGE,4,12,50.0
AMBROSE,4,1,100.0
AMELIA,2,1,14.29
AMELIA,4,6,85.71
AMELIA COURT HOUSE,2,72,64.29
AMELIA COURT HOUSE,3,2,1.79
AMELIA COURT HOUSE,4,38,33.93
AMENIA,1,1,2.08
AMENIA,2,40,83.33
AMENIA,3,2,4.17
AMENIA,4,5,10.42
AMERICAN CANYON,1,15,2.99
AMERICAN CANYON,2,460,91.63
AMERICAN CANYON,3,18,3.59
AMERICAN CANYON,4,9,1.79
AMERICAN FALLS,2,35,85.37
AMERICAN FALLS,3,2,4.88
AMERICAN FALLS,4,4,9.76
AMERICAN FORK,2,349,95.1
AMERICAN FORK,3,13,3.54
AMERICAN FORK,4,5,1.36
AMERICAN FORK-PLEASANT GROVE,2,1,100.0
AMERICUS,2,5,35.71
AMERICUS,3,1,7.14
AMERICUS,4,8,57.14
AMERY,4,2,100.0
AMES,2,149,87.13
AMES,3,2,1.17
AMES,4,20,11.7
AMESBURY,2,12,60.0
AMESBURY,3,6,30.0
AMESBURY,4,2,10.0
AMHERST,2,54,60.67
AMHERST,3,4,4.49
AMHERST,4,31,34.83
AMIDON,2,4,100.0
AMISSVILLE,2,7,58.33
AMISSVILLE,4,5,41.67
AMITE,4,5,100.0
AMITY,1,2,1.16
AMITY,2,150,86.71
AMITY,3,6,3.47
AMITY,4,15,8.67
AMITYVILLE,2,89,70.63
AMITYVILLE,3,9,7.14
AMITYVILLE,4,28,22.22
AMMA,2,16,72.73
AMMA,3,3,13.64
AMMA,4,3,13.64
AMSTERDAM,1,3,1.8
AMSTERDAM,2,145,86.83
AMSTERDAM,3,3,1.8
AMSTERDAM,4,16,9.58
AMSTON,2,11,55.0
AMSTON,4,9,45.0
ANABEL,2,1,100.0
ANACONDA,2,145,99.32
ANACONDA,4,1,0.68
ANACORTES,1,1,1.33
ANACORTES,2,49,65.33
ANACORTES,3,11,14.67
ANACORTES,4,14,18.67
ANADARKO,4,2,100.0
ANAHEIM,2,10034,95.54
ANAHEIM,3,376,3.58
ANAHEIM,4,92,0.88
ANAHEIM-SANTA ANA-GARDEN GROVE,2,1,100.0
ANAHUAC,2,1,20.0
ANAHUAC,3,1,20.0
ANAHUAC,4,3,60.0
ANAMOOSE,2,3,100.0
ANAMOSA,2,7,70.0
ANAMOSA,4,3,30.0
ANATONE,2,3,60.0
ANATONE,4,2,40.0
ANCRAM,1,2,6.9
ANCRAM,2,21,72.41
ANCRAM,3,1,3.45
ANCRAM,4,5,17.24
ANCRAMDALE,2,1,33.33
ANCRAMDALE,4,2,66.67
ANDALUSIA,2,7,100.0
ANDERSON,2,2553,96.23
ANDERSON,3,27,1.02
ANDERSON,4,73,2.75
ANDERSONVILLE,2,13,76.47
ANDERSONVILLE,4,4,23.53
ANDES,2,4,66.67
ANDES,3,1,16.67
ANDES,4,1,16.67
ANDOVER,1,7,2.56
ANDOVER,2,193,70.7
ANDOVER,3,45,16.48
ANDOVER,4,28,10.26
ANDREAS,2,1,100.0
ANDREWS,2,99,91.67
ANDREWS,4,9,8.33
ANDREWS AIR FORCE BASE,1,2,1.9
ANDREWS AIR FORCE BASE,2,99,94.29
ANDREWS AIR FORCE BASE,3,3,2.86
ANDREWS AIR FORCE BASE,4,1,0.95
ANETH,2,19,100.0
ANGEL FIRE,2,3,100.0
ANGELS CAMP,2,204,97.61
ANGELS CAMP,3,3,1.44
ANGELS CAMP,4,2,0.96
ANGELUS OAKS,2,10,71.43
ANGELUS OAKS,3,2,14.29
ANGELUS OAKS,4,2,14.29
ANGIER,2,35,74.47
ANGIER,4,12,25.53
ANGLETON,2,15,20.27
ANGLETON,3,10,13.51
ANGLETON,4,49,66.22
ANGOLA,2,83,76.85
ANGOLA,3,1,0.93
ANGOLA,4,24,22.22
ANGORA,2,28,100.0
ANGWIN,2,32,96.97
ANGWIN,4,1,3.03
ANITA,2,50,86.21
ANITA,4,8,13.79
ANIWA,4,3,100.0
ANKENY,2,138,89.61
ANKENY,3,9,5.84
ANKENY,4,7,4.55
ANN ARBOR,2,554,72.14
ANN ARBOR,3,57,7.42
ANN ARBOR,4,157,20.44
ANNA,2,15,38.46
ANNA,3,4,10.26
ANNA,4,20,51.28
ANNA MARIA,2,1,100.0
ANNANDALE,1,2,0.23
ANNANDALE,2,770,87.2
ANNANDALE,3,63,7.13
ANNANDALE,4,48,5.44
ANNAPOLIS,2,847,81.36
ANNAPOLIS,3,107,10.28
ANNAPOLIS,4,87,8.36
ANNAPOLIS JUNCTION,2,80,84.21
ANNAPOLIS JUNCTION,3,8,8.42
ANNAPOLIS JUNCTION,4,7,7.37
ANNAWAN,4,4,100.0
ANNISTON,2,57,95.0
ANNISTON,4,3,5.0
ANNVILLE,2,152,74.51
ANNVILLE,3,23,11.27
ANNVILLE,4,29,14.22
ANOKA,2,517,96.64
ANOKA,3,11,2.06
ANOKA,4,7,1.31
ANSLEY,4,1,100.0
ANSONIA,2,22,68.75
ANSONIA,3,3,9.38
ANSONIA,4,7,21.88
ANSTED,4,1,100.0
ANTELOPE,1,5,0.54
ANTELOPE,2,888,96.73
ANTELOPE,3,14,1.53
ANTELOPE,4,11,1.2
ANTHEM,2,7,100.0
ANTHONY,2,35,100.0
ANTIGO,2,2,33.33
ANTIGO,4,4,66.67
ANTIMONY,2,2,100.0
ANTIOCH,1,130,3.75
ANTIOCH,2,2997,86.47
ANTIOCH,3,279,8.05
ANTIOCH,4,60,1.73
ANTON,3,1,100.0
ANTON CHICO,2,3,75.0
ANTON CHICO,4,1,25.0
ANTONITO,2,2,66.67
ANTONITO,4,1,33.33
ANTRIM,2,6,85.71
ANTRIM,4,1,14.29
ANTWERP,4,7,100.0
ANZA,2,2,100.0
APACHE JUNCTION,1,7,7.37
APACHE JUNCTION,2,53,55.79
APACHE JUNCTION,3,10,10.53
APACHE JUNCTION,4,25,26.32
APALACHICOLA,3,1,100.0
APALACHIN,2,6,60.0
APALACHIN,3,2,20.0
APALACHIN,4,2,20.0
APEX,1,18,2.51
APEX,2,656,91.49
APEX,3,17,2.37
APEX,4,26,3.63
APISON,2,57,100.0
APOLLO,2,70,74.47
APOLLO,3,1,1.06
APOLLO,4,23,24.47
APOLLO BEACH,1,5,2.39
APOLLO BEACH,2,184,88.04
APOLLO BEACH,3,10,4.78
APOLLO BEACH,4,10,4.78
APOPKA,1,19,1.72
APOPKA,2,1038,94.02
APOPKA,3,24,2.17
APOPKA,4,23,2.08
APPLE CREEK,4,8,100.0
APPLE VALLEY,2,615,97.62
APPLE VALLEY,3,3,0.48
APPLE VALLEY,4,12,1.9
APPLEGATE,1,3,2.54
APPLEGATE,2,113,95.76
APPLEGATE,3,2,1.69
APPLETON,2,82,65.08
APPLETON,3,9,7.14
APPLETON,4,35,27.78
APPLING,2,9,90.0
APPLING,4,1,10.0
APPOMATTOX,2,11,61.11
APPOMATTOX,4,7,38.89
APTOS,2,878,98.32
APTOS,3,7,0.78
APTOS,4,8,0.9
ARAB,2,9,100.0
ARABI,2,5,45.45
ARABI,3,6,54.55
ARAGON,2,1,100.0
ARAPAHOE,4,3,100.0
ARARAT,2,1,100.0
ARBUCKLE,2,207,98.1
ARBUCKLE,3,1,0.47
ARBUCKLE,4,3,1.42
ARBYRD,4,1,100.0
ARCADE,2,9,100.0
ARCADIA,2,1342,95.31
ARCADIA,3,36,2.56
ARCADIA,4,30,2.13
ARCANUM,2,5,100.0
ARCATA,2,279,99.64
ARCATA,4,1,0.36
ARCH CAPE,2,47,100.0
ARCHBALD,2,8,100.0
ARCHBOLD,2,2,40.0
ARCHBOLD,4,3,60.0
ARCHDALE,2,1,50.0
ARCHDALE,4,1,50.0
ARCHER,2,76,91.57
ARCHER,4,7,8.43
ARCHER CITY,2,4,100.0
ARCO,2,7,77.78
ARCO,4,2,22.22
ARCOLA,2,3,75.0
ARCOLA,4,1,25.0
ARDARA,2,4,66.67
ARDARA,4,2,33.33
ARDEN,1,11,3.86
ARDEN,2,249,87.37
ARDEN,3,2,0.7
ARDEN,4,23,8.07
ARDMORE,2,201,92.2
ARDMORE,3,5,2.29
ARDMORE,4,12,5.5
ARDSLEY,2,62,89.86
ARDSLEY,3,2,2.9
ARDSLEY,4,5,7.25
ARENA,2,1,33.33
ARENA,4,2,66.67
ARGENTA,2,1,50.0
ARGENTA,4,1,50.0
ARGOS,2,6,50.0
ARGOS,3,2,16.67
ARGOS,4,4,33.33
ARGUSVILLE,2,30,100.0
ARGYLE,2,70,76.92
ARGYLE,3,12,13.19
ARGYLE,4,9,9.89
ARIEL,2,13,92.86
ARIEL,4,1,7.14
ARIMO,2,4,100.0
ARITON,3,1,50.0
ARITON,4,1,50.0
ARKADELPHIA,2,110,88.71
ARKADELPHIA,3,4,3.23
ARKADELPHIA,4,10,8.06
ARKDALE,2,1,14.29
ARKDALE,3,1,14.29
ARKDALE,4,5,71.43
ARLEE,2,59,93.65
ARLEE,4,4,6.35
ARLETA,2,81,97.59
ARLETA,3,1,1.2
ARLETA,4,1,1.2
ARLINGTON,1,16,0.27
ARLINGTON,2,5058,85.3
ARLINGTON,3,586,9.88
ARLINGTON,4,270,4.55
ARLINGTON HEIGHTS,1,2,0.92
ARLINGTON HEIGHTS,2,151,69.59
ARLINGTON HEIGHTS,3,59,27.19
ARLINGTON HEIGHTS,4,5,2.3
ARMAGH,2,6,85.71
ARMAGH,4,1,14.29
ARMONA,1,3,3.19
ARMONA,2,90,95.74
ARMONA,4,1,1.06
ARMONK,1,2,1.77
ARMONK,2,101,89.38
ARMONK,3,5,4.42
ARMONK,4,5,4.42
ARMSTRONG,2,2,100.0
ARMUCHEE,2,5,71.43
ARMUCHEE,4,2,28.57
ARNEGARD,2,4,100.0
ARNOLD,2,264,82.24
ARNOLD,3,41,12.77
ARNOLD,4,16,4.98
AROMAS,1,1,0.33
AROMAS,2,291,97.32
AROMAS,3,6,2.01
AROMAS,4,1,0.33
ARONA,2,5,71.43
ARONA,3,2,28.57
ARRIBA,2,2,66.67
ARRIBA,4,1,33.33
ARRINGTON,2,33,80.49
ARRINGTON,3,1,2.44
ARRINGTON,4,7,17.07
ARROYO GRANDE,2,550,98.57
ARROYO GRANDE,3,5,0.9
ARROYO GRANDE,4,3,0.54
ARTESIA,2,385,93.22
ARTESIA,3,21,5.08
ARTESIA,4,7,1.69
ARTHUR,2,2,100.0
ARTOIS,2,9,100.0
ARUNDEL,2,6,100.0
ARVADA,1,4,1.88
ARVADA,2,103,48.36
ARVADA,3,88,41.31
ARVADA,4,18,8.45
ARVERNE,3,1,100.0
ARVILLA,2,7,100.0
ARVIN,2,558,94.74
ARVIN,3,18,3.06
ARVIN,4,13,2.21
ASBURY,2,92,75.41
ASBURY,3,12,9.84
ASBURY,4,18,14.75
ASBURY PARK,1,1,1.11
ASBURY PARK,2,77,85.56
ASBURY PARK,3,3,3.33
ASBURY PARK,4,9,10.0
ASCUTNEY,2,1,100.0
ASH,2,2,33.33
ASH,4,4,66.67
ASH FORK,2,105,82.68
ASH FORK,3,6,4.72
ASH FORK,4,16,12.6
ASH GROVE,2,29,80.56
ASH GROVE,3,2,5.56
ASH GROVE,4,5,13.89
ASHAWAY,2,19,82.61
ASHAWAY,3,3,13.04
ASHAWAY,4,1,4.35
ASHBURN,2,355,88.31
ASHBURN,3,20,4.98
ASHBURN,4,27,6.72
ASHBY,2,182,99.45
ASHBY,3,1,0.55
ASHDOWN,2,3,60.0
ASHDOWN,4,2,40.0
ASHEBORO,2,60,64.52
ASHEBORO,3,7,7.53
ASHEBORO,4,26,27.96
ASHER,2,1,20.0
ASHER,4,4,80.0
ASHERTON,4,2,100.0
ASHEVILLE,1,72,4.96
ASHEVILLE,2,1260,86.84
ASHEVILLE,3,45,3.1
ASHEVILLE,4,74,5.1
ASHFIELD,2,1,100.0
ASHFORD,2,11,36.67
ASHFORD,3,2,6.67
ASHFORD,4,17,56.67
ASHKUM,2,1,50.0
ASHKUM,4,1,50.0
ASHLAND,1,14,0.5
ASHLAND,2,2615,94.27
ASHLAND,3,60,2.16
ASHLAND,4,85,3.06
ASHLAND CITY,1,1,6.25
ASHLAND CITY,2,11,68.75
ASHLAND CITY,4,4,25.0
ASHLEY,2,17,80.95
ASHLEY,4,4,19.05
ASHTABULA,2,1,9.09
ASHTABULA,4,10,90.91
ASHTON,2,20,66.67
ASHTON,3,2,6.67
ASHTON,4,8,26.67
ASHVILLE,2,50,70.42
ASHVILLE,4,21,29.58
ASKOV,2,35,100.0
ASPEN,2,11,68.75
ASPEN,4,5,31.25
ASPERS,2,24,63.16
ASPERS,3,12,31.58
ASPERS,4,2,5.26
ASPINWALL,2,2,100.0
ASSARIA,2,1,100.0
ASSONET,1,1,4.76
ASSONET,2,12,57.14
ASSONET,3,6,28.57
ASSONET,4,2,9.52
ASTON,1,1,0.56
ASTON,2,150,83.33
ASTON,3,3,1.67
ASTON,4,26,14.44
ASTOR,2,52,91.23
ASTOR,4,5,8.77
ASTORIA,1,4,0.34
ASTORIA,2,1087,92.59
ASTORIA,3,58,4.94
ASTORIA,4,25,2.13
ATALISSA,2,24,85.71
ATALISSA,3,2,7.14
ATALISSA,4,2,7.14
ATASCADERO,2,317,95.77
ATASCADERO,3,9,2.72
ATASCADERO,4,5,1.51
ATASCOSA,2,7,63.64
ATASCOSA,4,4,36.36
ATCO,2,2,33.33
ATCO,4,4,66.67
ATGLEN,2,20,100.0
ATHENA,2,55,98.21
ATHENA,3,1,1.79
ATHENS,2,202,71.89
ATHENS,3,9,3.2
ATHENS,4,70,24.91
ATHERTON,2,42,97.67
ATHERTON,4,1,2.33
ATHOL,2,15,68.18
ATHOL,3,1,4.55
ATHOL,4,6,27.27
ATKINS,2,148,89.16
ATKINS,3,3,1.81
ATKINS,4,15,9.04
ATKINSON,2,5,71.43
ATKINSON,4,2,28.57
ATLANTA,1,106,0.68
ATLANTA,2,11149,71.37
ATLANTA,3,2900,18.56
ATLANTA,4,1467,9.39
ATLANTIC,2,45,81.82
ATLANTIC,4,10,18.18
ATLANTIC BEACH,2,4,66.67
ATLANTIC BEACH,4,2,33.33
ATLANTIC CITY,2,71,73.96
ATLANTIC CITY,3,10,10.42
ATLANTIC CITY,4,15,15.63
ATLANTIC HIGHLANDS,3,1,16.67
ATLANTIC HIGHLANDS,4,5,83.33
ATLAS,2,3,100.0
ATMORE,2,59,90.77
ATMORE,3,1,1.54
ATMORE,4,5,7.69
ATOKA,1,1,100.0
ATTALLA,2,10,52.63
ATTALLA,4,9,47.37
